customer_id,cohort_month,tenure_months,plan,monthly_charges,support_calls_last_90d,login_days_last_30d,churned
C00045,2024-02,47,Basic,30.3,2,21,0
C00046,2023-11,33,Standard,61.73,0,25,0
C00047,2024-06,29,Basic,24.76,3,15,0
C00048,2024-01,24,Standard,52.45,4,18,1
C00049,2023-05,48,Standard,57.88,2,10,0
C00050,2023-05,30,Basic,18.19,2,24,1
C00051,2023-11,14,Basic,23.88,4,26,0
C00052,2024-06,29,Premium,92.21,2,14,0
C00053,2024-05,52,Premium,97.64,0,29,0
C00054,2023-06,1,Basic,28.22,2,10,0
C00055,2023-11,53,Standard,59.6,0,24,0
C00056,2024-01,56,Standard,62.25,2,22,0
C00057,2024-05,14,Basic,32.35,0,17,0
C00058,2023-02,14,Standard,61.26,1,12,0
C00059,2023-03,47,Premium,110.84,1,21,0
C00060,2023-01,44,Premium,103.08,1,24,0
C00061,2023-03,13,Premium,89.26,0,14,0
C00062,2023-10,19,Basic,28.09,6,10,1
C00063,2024-04,6,Premium,95.98,1,20,0
C00064,2023-01,55,Standard,48.89,0,16,0
C00065,2024-06,57,Standard,64.28,2,13,0
C00066,2023-04,32,Basic,30.37,3,5,0
C00067,2023-10,49,Basic,28.3,0,19,0
C00068,2024-01,41,Standard,54.12,1,16,0
C00069,2023-12,13,Standard,54.49,0,13,0
C00070,2023-09,47,Basic,34.63,2,27,1
C00071,2024-01,60,Basic,25.5,2,11,0
C00072,2023-01,12,Standard,60.14,2,14,0
C00073,2024-06,25,Basic,32.2,3,9,0
C00074,2023-08,4,Basic,24.49,2,22,1
C00075,2024-01,7,Standard,68.13,2,18,0
C00076,2023-03,4,Basic,30.95,2,18,0
C00077,2023-04,8,Standard,63.75,1,17,1
C00078,2023-06,51,Standard,53.02,3,0,0
C00079,2023-03,3,Standard,54.58,3,16,0
C00080,2024-06,56,Premium,97.48,2,19,0
C00081,2023-06,2,Basic,26.59,0,19,1
C00082,2024-01,7,Premium,95.36,1,21,1
C00083,2023-10,3,Basic,30.04,1,14,0
C00084,2023-03,56,Premium,95.76,1,12,0
C00085,2024-04,19,Basic,33.62,1,19,0
C00086,2023-09,17,Basic,26.22,2,16,0
C00087,2023-10,23,Standard,56.08,2,22,0
C00088,2023-08,52,Basic,32.7,1,20,0
C00089,2023-12,60,Standard,60.47,0,13,0
C00090,2023-03,27,Standard,60.65,0,30,0
C00091,2023-07,27,Standard,59.87,3,0,1
C00092,2023-07,13,Standard,55.59,1,12,0
C00093,2023-10,27,Premium,97.36,1,3,0
C00094,2023-02,22,Basic,35.14,0,32,0
C00095,2023-07,19,Standard,55.54,2,25,0
C00096,2023-01,58,Standard,67.92,1,13,0
C00097,2024-02,37,Basic,32.79,2,20,0
C00098,2024-03,26,Standard,52.34,2,8,1
C00099,2024-02,26,Premium,106.95,4,9,0
C00100,2024-04,55,Premium,98.75,2,10,0
C00101,2023-07,41,Basic,22.89,0,21,0
C00102,2023-05,20,Standard,61.23,0,0,0
C00103,2024-06,55,Standard,57.8,2,12,0
C00104,2023-03,18,Premium,95.51,0,4,0
C00105,2023-12,21,Basic,30.55,4,13,0
C00106,2023-09,37,Basic,23.39,2,21,0
C00107,2023-03,23,Premium,95.04,3,5,0
C00108,2024-01,18,Basic,31.75,0,10,0
C00109,2023-09,39,Basic,26.18,1,5,0
C00110,2023-04,26,Standard,58.92,1,6,0
C00111,2024-03,14,Basic,18.18,0,2,1
C00112,2023-04,3,Standard,60.29,1,12,0
C00113,2023-08,28,Standard,66.63,2,21,0
C00114,2023-01,17,Standard,60.54,1,18,0
C00115,2023-06,36,Basic,24.3,1,6,0
C00116,2023-04,24,Basic,29.82,1,12,0
C00117,2023-08,55,Basic,30.28,4,12,0
C00118,2023-08,48,Basic,32.5,1,15,0
C00119,2023-05,52,Standard,59.53,2,10,0
C00120,2024-06,15,Basic,22.6,1,13,0
C00121,2023-04,32,Premium,98.06,2,17,0
C00122,2023-06,45,Premium,98.97,0,11,0
C00123,2023-04,37,Premium,99.21,1,16,0
C00124,2023-07,50,Premium,92.57,0,5,1
C00125,2023-06,2,Standard,61.43,2,31,0
C00126,2023-04,49,Premium,89.06,0,15,0
C00127,2023-06,59,Premium,95.14,2,20,0
C00128,2024-04,8,Standard,64.87,1,15,0
C00129,2024-01,32,Standard,67.16,1,7,0
C00130,2024-02,46,Premium,97.95,1,10,1
C00131,2023-04,40,Basic,25.77,0,10,0
C00132,2023-08,40,Basic,25.75,3,8,1
C00133,2023-04,46,Standard,57.42,1,24,0
C00134,2023-07,14,Standard,61.62,2,19,0
C00135,2023-12,24,Basic,27.69,1,14,0
C00136,2024-03,46,Premium,96.98,1,21,0
C00137,2023-12,46,Standard,62.68,0,12,0
C00138,2023-09,41,Basic,26.91,1,14,0
C00139,2023-01,59,Premium,101.67,1,12,0
C00140,2024-03,7,Standard,53.65,1,17,0
C00141,2024-06,6,Standard,62.8,3,6,1
C00142,2024-06,43,Premium,92.77,0,5,0
C00143,2023-05,35,Premium,101.95,2,20,0
C00144,2023-06,25,Premium,106.1,1,17,0
C00145,2023-07,7,Standard,53.18,2,26,0
C00146,2023-01,39,Standard,62.05,0,17,0
C00147,2023-10,28,Premium,99.1,4,21,0
C00148,2024-03,45,Premium,101.24,4,7,0
C00149,2023-06,10,Premium,100.09,3,28,1
C00150,2023-09,9,Basic,37.38,2,19,0
C00151,2024-03,28,Basic,28.25,0,2,0
C00152,2023-07,36,Premium,87.32,0,18,0
C00153,2023-06,48,Basic,23.7,1,2,0
C00154,2023-11,7,Standard,60.46,5,15,0
C00155,2024-04,60,Premium,105.69,3,12,0
C00156,2024-04,35,Standard,58.44,0,23,0
C00157,2023-09,1,Standard,57.82,2,23,0
C00158,2024-03,45,Basic,30.75,1,25,0
C00159,2023-09,14,Standard,57.2,2,22,0
C00160,2023-10,23,Standard,66.55,3,18,0
C00161,2023-11,3,Standard,61.37,2,19,1
C00162,2023-06,23,Basic,28.72,0,13,0
C00163,2023-09,41,Basic,27.17,0,9,0
C00164,2024-06,18,Premium,96.57,0,16,0
C00165,2023-12,18,Premium,101.51,3,2,1
C00166,2023-11,38,Standard,57.45,1,13,0
C00167,2024-03,49,Premium,91.07,2,17,0
C00168,2024-04,60,Standard,60.27,3,24,1
C00169,2023-11,35,Basic,37.26,3,21,0
C00170,2024-02,2,Standard,55.97,2,0,1
C00171,2023-01,51,Premium,97.23,2,15,0
C00172,2023-06,28,Basic,27.33,1,6,1
C00173,2024-03,13,Premium,92.6,1,6,0
C00174,2023-10,8,Standard,53.46,1,21,0
C00175,2023-10,31,Basic,33.98,2,15,0
C00176,2024-02,38,Basic,29.8,1,15,1
C00177,2023-08,12,Premium,98.43,3,3,1
C00178,2024-06,49,Standard,52.2,3,13,1
C00179,2023-02,4,Premium,102.44,3,22,0
C00180,2024-04,2,Premium,90.21,2,19,0
C00181,2024-05,55,Basic,28.73,0,14,0
C00182,2023-02,12,Basic,40.37,2,22,0
C00183,2023-06,9,Standard,58.55,3,25,0
C00184,2023-09,1,Premium,103.72,3,18,0
C00185,2023-12,13,Premium,109.69,0,1,0
C00186,2023-03,32,Premium,90.3,0,11,0
C00187,2024-04,47,Basic,23.27,3,23,0
C00188,2023-01,38,Basic,38.08,0,17,0
C00189,2023-01,6,Basic,35.49,2,20,0
C00190,2023-06,59,Basic,34.04,2,6,0
C00191,2023-12,36,Basic,15.09,1,14,0
C00192,2024-05,37,Premium,101.0,4,9,0
C00193,2023-09,16,Standard,55.92,1,15,0
C00194,2023-02,11,Standard,57.32,0,17,0
C00195,2023-10,54,Basic,24.12,2,22,1
C00196,2024-03,1,Premium,98.59,2,20,0
C00197,2023-08,3,Basic,24.19,2,9,0
C00198,2024-04,35,Basic,35.05,0,23,1
C00199,2024-01,23,Basic,24.2,0,0,0
C00200,2024-01,10,Standard,56.63,3,28,1
C00201,2023-12,33,Premium,107.79,1,21,0
C00202,2023-02,11,Premium,100.37,2,16,0
C00203,2023-03,8,Standard,59.82,0,3,0
C00204,2024-05,9,Premium,91.98,3,22,0
C00205,2023-01,25,Basic,27.05,0,15,0
C00206,2024-03,38,Premium,93.93,2,10,0
C00207,2023-09,19,Premium,93.35,3,9,0
C00208,2023-04,7,Standard,52.25,1,27,0
C00209,2023-08,38,Basic,20.84,0,20,0
C00210,2024-04,54,Premium,93.16,2,0,0
C00211,2023-12,9,Premium,95.37,1,10,0
C00212,2023-01,52,Premium,94.44,6,21,0
C00213,2024-02,10,Standard,60.64,0,16,0
C00214,2023-07,34,Premium,105.62,3,20,0
C00215,2023-05,15,Premium,101.97,1,0,0
C00216,2024-03,60,Premium,103.53,2,21,0
C00217,2024-04,43,Standard,53.87,0,16,0
C00218,2023-06,20,Premium,99.1,1,19,0
C00219,2023-11,47,Premium,89.97,2,23,0
C00220,2023-11,60,Premium,97.26,0,22,0
C00221,2023-10,6,Premium,107.03,1,5,0
C00222,2024-04,56,Premium,99.62,2,10,0
C00223,2023-03,30,Basic,28.68,2,5,0
C00224,2023-02,46,Premium,102.22,2,34,0
C00225,2024-01,13,Basic,29.49,1,12,0
C00226,2023-05,58,Standard,54.84,1,6,0
C00227,2023-06,60,Standard,56.4,2,0,0
C00228,2023-03,1,Standard,59.53,2,19,0
C00229,2024-06,35,Premium,95.4,2,9,0
C00230,2023-08,28,Standard,65.57,2,22,0
C00231,2023-09,8,Premium,99.47,2,18,0
C00232,2023-02,35,Standard,54.7,3,8,0
C00233,2023-10,5,Standard,52.99,1,31,1
C00234,2023-04,58,Basic,33.4,1,19,0
C00235,2024-05,45,Premium,105.36,2,23,0
C00236,2023-09,22,Premium,91.72,0,10,0
C00237,2023-05,58,Basic,26.07,5,17,0
C00238,2023-11,25,Standard,54.92,1,21,0
C00239,2024-01,14,Basic,27.34,1,17,0
C00240,2024-06,28,Standard,58.84,0,8,0
C00241,2023-07,15,Basic,24.48,1,21,0
C00242,2023-01,58,Standard,54.86,1,3,0
C00243,2023-03,48,Basic,27.79,2,10,0
C00244,2023-04,4,Basic,19.13,4,5,1
C00245,2024-06,27,Basic,20.94,0,7,0
C00246,2023-08,18,Standard,49.55,0,8,0
C00247,2023-11,23,Standard,62.25,1,12,0
C00248,2024-05,33,Premium,92.74,1,30,0
C00249,2024-05,38,Standard,50.29,0,23,0
C00250,2023-03,22,Standard,69.22,3,7,0
C00251,2023-12,39,Basic,29.97,0,18,0
C00252,2024-06,16,Standard,61.55,3,10,0
C00253,2023-07,3,Premium,108.31,0,9,0
C00254,2023-09,39,Premium,91.74,0,23,0
C00255,2023-01,39,Basic,37.69,2,7,0
C00256,2023-09,19,Premium,106.87,2,12,1
C00257,2023-03,3,Premium,94.51,0,14,1
C00258,2023-11,1,Standard,53.66,3,12,0
C00259,2024-06,35,Basic,35.7,1,16,0
C00260,2023-03,13,Basic,32.91,3,21,0
C00261,2024-01,38,Basic,23.79,0,5,0
C00262,2023-08,19,Basic,30.41,0,18,0
C00263,2023-01,29,Standard,68.6,3,15,0
C00264,2023-01,53,Premium,97.79,1,17,0
C00265,2023-01,28,Standard,52.32,3,2,0
C00266,2024-03,4,Standard,66.32,3,25,1
C00267,2024-03,37,Basic,39.84,1,23,0
C00268,2023-01,24,Basic,18.32,1,17,0
C00269,2023-06,21,Premium,99.47,1,10,0
C00270,2024-01,2,Premium,97.31,3,13,1
C00271,2023-10,47,Standard,58.81,2,22,0
C00272,2023-12,23,Premium,90.73,0,18,0
C00273,2023-07,13,Premium,97.74,0,34,0
C00274,2024-02,24,Premium,100.75,1,0,0
C00275,2023-09,46,Standard,64.27,1,11,0
C00276,2024-03,16,Standard,58.88,3,24,0
C00277,2024-02,7,Basic,26.93,0,8,0
C00278,2023-04,33,Premium,98.7,4,12,1
C00279,2024-06,41,Premium,96.0,2,18,0
C00280,2023-08,46,Premium,100.96,3,6,1
C00281,2024-03,6,Premium,102.24,2,26,1
C00282,2023-01,53,Basic,28.59,2,12,0
C00283,2023-04,50,Premium,97.31,1,19,0
C00284,2023-08,28,Basic,35.58,2,33,0
C00285,2023-11,12,Standard,56.07,3,19,0
C00286,2023-03,35,Basic,26.05,1,16,0
C00287,2023-04,46,Premium,100.23,1,6,0
C00288,2024-02,29,Standard,56.84,2,34,0
C00289,2024-06,24,Basic,28.26,1,17,1
C00290,2023-10,33,Standard,49.74,2,10,0
C00291,2024-02,25,Standard,62.93,0,19,0
C00292,2023-02,51,Basic,41.26,0,23,0
C00293,2023-12,43,Basic,32.74,3,4,0
C00294,2023-11,57,Standard,59.71,4,25,0
C00295,2023-09,12,Standard,65.12,0,15,0
C00296,2023-10,23,Premium,96.22,2,19,0
C00297,2023-12,29,Premium,108.9,3,12,1
C00298,2023-09,26,Basic,25.36,1,15,0
C00299,2023-01,58,Premium,106.0,0,16,0
C00300,2023-09,5,Premium,90.98,4,16,1
C00301,2023-01,57,Premium,100.88,3,28,0
C00302,2023-10,60,Premium,94.29,1,2,0
C00303,2023-06,37,Standard,38.68,1,6,0
C00304,2023-05,60,Standard,63.66,2,17,0
C00305,2023-08,27,Standard,54.46,0,11,0
C00306,2024-03,53,Premium,99.47,5,22,0
C00307,2023-07,52,Premium,100.03,3,11,0
C00308,2023-02,57,Premium,99.18,1,9,0
C00309,2024-01,26,Standard,51.82,0,16,0
C00310,2023-09,45,Basic,24.85,1,15,0
C00311,2023-08,12,Basic,29.61,1,7,1
C00312,2024-04,50,Standard,64.92,1,17,0
C00313,2024-01,32,Basic,37.54,0,22,0
C00314,2023-03,23,Premium,100.45,4,17,1
C00315,2023-12,9,Standard,53.59,1,2,0
C00316,2024-03,51,Standard,59.79,3,15,0
C00317,2023-11,28,Basic,26.28,1,21,1
C00318,2024-02,52,Premium,96.58,2,1,0
C00319,2023-05,4,Basic,24.15,3,9,0
C00320,2024-02,30,Basic,29.35,1,24,0
C00321,2023-08,14,Premium,91.63,1,12,0
C00322,2023-01,58,Standard,61.97,2,21,0
C00323,2023-06,41,Standard,59.28,1,18,0
C00324,2024-05,22,Standard,61.44,0,34,0
C00325,2023-05,58,Basic,31.65,1,21,0
C00326,2023-07,28,Basic,31.87,2,13,0
C00327,2023-05,51,Standard,48.74,3,9,0
C00328,2023-03,59,Basic,29.66,1,17,0
C00329,2023-05,54,Premium,98.93,1,10,0
C00330,2023-02,42,Basic,24.14,3,18,1
C00331,2023-08,21,Premium,96.39,0,9,1
C00332,2024-01,54,Premium,101.55,1,24,0
C00333,2024-03,20,Basic,20.98,2,12,1
C00334,2023-12,60,Premium,97.26,0,0,0
C00335,2023-11,8,Basic,30.79,0,14,0
C00336,2023-08,45,Premium,100.09,2,15,0
C00337,2024-06,27,Basic,30.1,4,13,0
C00338,2023-04,22,Basic,31.63,1,22,0
C00339,2023-08,17,Premium,98.09,2,28,0
C00340,2023-05,19,Premium,92.75,1,20,0
C00341,2024-02,10,Premium,104.67,3,19,0
C00342,2023-03,34,Standard,61.92,1,12,0
C00343,2023-07,13,Premium,111.71,0,2,0
C00344,2023-06,14,Basic,21.47,3,6,1
C00345,2024-05,49,Premium,101.84,4,22,1
C00346,2024-05,1,Basic,32.17,4,13,1
C00347,2023-11,6,Premium,95.88,2,12,0
C00348,2023-03,17,Premium,97.56,0,0,0
C00349,2023-04,52,Standard,55.71,3,23,1
C00350,2023-07,35,Premium,84.9,2,21,0
C00351,2023-10,45,Basic,30.46,1,35,1
C00352,2024-04,42,Basic,26.77,3,16,0
C00353,2023-10,5,Premium,100.08,0,6,0
C00354,2023-11,45,Premium,94.7,3,15,0
C00355,2024-02,57,Standard,62.49,1,6,0
C00356,2024-01,60,Premium,100.3,4,25,1
C00357,2024-03,13,Standard,69.57,1,22,0
C00358,2023-04,7,Standard,56.21,3,11,0
C00359,2023-10,3,Basic,25.12,4,17,0
C00360,2023-09,45,Standard,61.83,0,15,0
C00361,2024-01,29,Standard,59.7,3,15,0
C00362,2023-06,56,Premium,95.44,0,5,0
C00363,2023-05,1,Basic,30.4,1,17,1
C00364,2023-08,12,Basic,29.61,5,13,0
C00365,2024-01,29,Basic,33.42,2,13,0
C00366,2023-07,20,Basic,30.88,1,0,0
C00367,2023-12,13,Premium,92.61,2,15,0
C00368,2024-03,52,Premium,96.82,3,8,0
C00369,2023-03,11,Basic,22.1,5,20,1
C00370,2023-06,9,Premium,107.55,3,24,0
C00371,2023-07,55,Basic,23.97,3,12,0
C00372,2024-02,27,Standard,55.78,3,23,0
C00373,2023-04,9,Basic,39.53,7,21,0
C00374,2023-08,6,Standard,51.47,0,11,0
C00375,2023-04,5,Basic,26.19,2,28,1
C00376,2024-01,44,Standard,59.25,1,16,1
C00377,2023-06,53,Standard,55.59,2,9,0
C00378,2023-11,3,Standard,56.31,2,10,0
C00379,2024-06,58,Standard,57.53,0,6,0
C00380,2023-03,46,Standard,54.38,3,15,1
C00381,2023-12,36,Premium,94.97,2,13,0
C00382,2023-06,44,Premium,102.6,1,19,0
C00383,2024-05,50,Premium,95.48,2,16,0
C00384,2023-01,37,Basic,30.58,1,23,0
C00385,2023-06,51,Basic,33.02,2,15,0
C00386,2024-06,34,Premium,105.83,1,17,0
C00387,2024-02,2,Standard,68.08,4,25,0
C00388,2024-02,47,Premium,105.92,1,11,0
C00389,2023-11,31,Standard,49.36,1,17,0
C00390,2023-06,37,Standard,62.03,1,19,0
C00391,2024-02,7,Standard,51.67,1,30,0
C00392,2023-10,5,Basic,33.09,2,21,0
C00393,2024-03,16,Standard,61.21,1,0,1
C00394,2023-03,46,Premium,104.82,1,14,0
C00395,2024-05,26,Basic,26.31,2,3,0
C00396,2024-06,52,Standard,56.19,1,4,0
C00397,2023-06,8,Premium,95.83,2,23,0
C00398,2023-09,14,Premium,100.89,2,29,0
C00399,2023-10,41,Premium,99.79,4,22,0
C00400,2023-10,51,Premium,106.79,0,0,0
C00401,2024-01,34,Standard,62.15,3,1,0
C00402,2023-10,51,Premium,98.95,2,29,0
C00403,2023-09,22,Basic,27.23,2,15,0
C00404,2024-03,41,Standard,63.32,1,9,1
C00405,2023-03,48,Premium,93.29,1,18,0
C00406,2023-02,25,Premium,94.93,0,9,0
C00407,2023-03,15,Basic,33.54,1,23,0
C00408,2023-05,58,Premium,108.84,2,9,0
C00409,2024-01,51,Standard,60.28,2,12,0
C00410,2023-07,50,Basic,25.57,1,3,0
C00411,2023-09,23,Standard,61.61,1,24,0
C00412,2023-05,60,Premium,93.12,0,20,0
C00413,2023-04,47,Premium,93.27,2,22,0
C00414,2023-01,29,Basic,33.73,0,21,0
C00415,2024-03,51,Standard,48.02,3,15,0
C00416,2023-02,43,Basic,32.85,5,8,0
C00417,2024-06,44,Standard,53.83,3,18,1
C00418,2023-07,55,Premium,102.77,1,20,0
C00419,2023-06,36,Standard,54.01,1,14,0
C00420,2023-07,31,Standard,53.98,1,11,0
C00421,2023-03,53,Premium,99.3,1,21,0
C00422,2023-07,51,Premium,102.39,0,16,0
C00423,2023-03,11,Premium,97.99,0,14,0
C00424,2023-11,47,Basic,30.89,2,13,1
C00425,2024-05,16,Premium,98.81,2,8,0
C00426,2023-11,41,Standard,59.3,2,20,1
C00427,2024-05,3,Standard,57.2,0,13,1
C00428,2023-03,7,Premium,88.9,2,16,0
C00429,2024-05,9,Standard,54.39,1,15,0
C00430,2024-02,50,Premium,98.31,0,19,0
C00431,2024-01,31,Premium,93.8,1,12,0
C00432,2023-06,44,Standard,58.69,2,9,0
C00433,2023-04,53,Premium,95.56,1,23,0
C00434,2023-12,20,Standard,63.09,1,12,0
C00435,2023-03,53,Standard,63.53,1,16,0
C00436,2024-03,55,Standard,56.99,2,20,0
C00437,2023-03,42,Basic,15.14,3,31,1
C00438,2023-07,25,Premium,100.89,0,13,0
C00439,2023-11,17,Standard,66.93,2,22,0
C00440,2023-03,52,Basic,25.4,4,13,1
C00441,2023-03,10,Basic,28.81,2,21,0
C00442,2024-05,44,Premium,97.09,4,18,0
C00443,2023-03,7,Basic,22.96,4,28,1
C00444,2023-08,4,Standard,60.5,3,0,1
C00445,2023-08,37,Premium,103.58,3,20,1
C00446,2023-05,37,Premium,97.81,2,7,0
C00447,2023-02,12,Basic,24.05,4,11,1
C00448,2023-03,60,Standard,60.19,4,11,0
C00449,2024-03,28,Standard,54.36,2,16,1
C00450,2024-01,52,Premium,99.04,1,29,0
C00451,2024-06,13,Premium,94.54,1,24,0
C00452,2024-02,11,Standard,48.91,1,21,0
C00453,2023-01,4,Premium,95.81,0,20,0
C00454,2024-04,39,Premium,102.53,0,22,0
C00455,2023-10,21,Premium,95.54,1,23,0
C00456,2023-12,27,Basic,27.05,1,15,0
C00457,2023-01,39,Standard,46.19,1,8,0
C00458,2023-07,10,Basic,35.47,2,9,0
C00459,2023-02,59,Basic,37.12,1,0,1
C00460,2023-09,22,Basic,29.46,3,11,0
C00461,2023-09,13,Standard,62.87,3,31,0
C00462,2024-03,38,Basic,39.74,1,10,1
C00463,2023-11,31,Premium,105.61,1,14,0
C00464,2023-01,20,Standard,55.23,2,12,0
C00465,2024-05,6,Standard,54.49,2,25,0
C00466,2023-09,8,Basic,35.04,0,16,0
C00467,2024-04,22,Premium,97.48,1,16,0
C00468,2023-12,57,Standard,58.9,4,21,0
C00469,2023-04,15,Basic,45.43,2,20,0
C00470,2024-06,60,Premium,104.08,0,23,0
C00471,2023-11,57,Standard,67.9,1,29,1
C00472,2023-10,25,Premium,91.85,3,21,0
C00473,2024-05,1,Standard,61.09,0,15,0
C00474,2023-02,47,Standard,61.26,1,21,0
C00475,2024-05,10,Premium,101.62,1,12,0
C00476,2023-07,38,Premium,94.15,4,17,0
C00477,2024-06,38,Basic,35.58,3,10,0
C00478,2024-02,36,Premium,101.13,2,9,0
C00479,2024-05,33,Premium,92.35,1,4,1
C00480,2023-11,2,Standard,63.17,1,16,0
C00481,2023-06,57,Premium,101.49,1,20,0
C00482,2023-07,19,Standard,59.67,2,5,1
C00483,2023-07,12,Premium,98.58,2,4,0
C00484,2023-09,28,Basic,19.13,1,10,0
C00485,2024-02,49,Basic,26.91,0,22,0
C00486,2024-03,60,Basic,27.4,1,7,1
C00487,2024-04,41,Basic,19.86,0,27,0
C00488,2023-01,46,Basic,35.05,1,7,1
C00489,2023-12,43,Premium,101.16,2,6,0
C00490,2023-10,42,Premium,96.39,0,7,0
C00491,2023-08,1,Standard,56.41,3,26,0
C00492,2024-06,29,Standard,62.99,0,19,0
C00493,2023-09,6,Basic,35.47,0,8,0
C00494,2023-12,38,Basic,19.74,0,29,0
C00495,2023-12,2,Premium,95.09,0,7,0
C00496,2024-06,11,Standard,52.41,2,20,0
C00497,2023-02,34,Standard,66.53,1,9,0
C00498,2024-04,50,Standard,69.75,4,6,0
C00499,2024-05,17,Basic,21.8,1,13,0
C00500,2024-03,59,Premium,101.91,0,12,0
C00501,2023-03,37,Standard,58.44,1,13,0
C00502,2023-06,26,Premium,110.31,1,10,0
C00503,2023-07,8,Premium,96.21,2,20,0
C00504,2023-02,50,Premium,94.33,0,20,0
C00505,2024-05,26,Premium,105.86,1,4,0
C00506,2024-04,1,Standard,58.92,1,12,0
C00507,2023-08,45,Basic,28.5,3,9,1
C00508,2023-10,40,Premium,98.61,2,16,0
C00509,2023-04,42,Premium,92.37,4,4,1
C00510,2023-06,58,Standard,68.1,1,18,0
C00511,2023-10,57,Premium,95.06,1,11,0
C00512,2024-04,57,Standard,57.82,1,11,0
C00513,2023-04,30,Standard,61.72,1,27,0
C00514,2023-09,16,Standard,45.6,2,12,0
C00515,2024-03,48,Standard,53.59,1,19,0
C00516,2023-07,53,Standard,66.53,2,16,0
C00517,2023-10,7,Standard,59.8,0,19,0
C00518,2023-04,5,Premium,95.58,2,17,1
C00519,2023-12,26,Premium,98.24,1,10,0
C00520,2023-10,24,Basic,32.82,1,14,1
C00521,2024-02,32,Basic,23.36,0,34,0
C00522,2024-06,20,Standard,59.25,1,13,0
C00523,2023-08,27,Premium,96.23,1,5,0
C00524,2023-06,48,Basic,29.47,2,20,0
C00525,2023-03,1,Basic,34.29,3,12,1
C00526,2024-05,43,Premium,101.19,4,19,1
C00527,2023-03,8,Standard,65.95,2,2,0
C00528,2023-03,4,Basic,36.46,1,0,0
C00529,2024-03,3,Basic,29.96,0,27,0
C00530,2024-06,30,Standard,63.3,3,12,1
C00531,2024-04,21,Premium,98.87,1,13,0
C00532,2023-09,7,Premium,101.37,1,18,0
C00533,2023-02,13,Premium,96.18,2,16,0
C00534,2023-09,5,Basic,22.36,2,16,0
C00535,2023-05,45,Premium,101.3,0,9,0
C00536,2023-01,50,Standard,58.26,3,28,0
C00537,2024-04,2,Premium,102.58,0,11,1
C00538,2024-05,12,Standard,67.59,4,17,0
C00539,2023-09,24,Standard,53.3,3,28,0
C00540,2023-10,27,Premium,101.75,1,13,0
C00541,2023-10,18,Basic,31.76,0,20,0
C00542,2024-01,4,Basic,29.36,2,23,0
C00543,2023-11,7,Premium,90.27,4,13,0
C00544,2024-01,43,Standard,61.86,3,18,0
C00545,2023-05,39,Premium,102.78,4,10,0
C00546,2023-06,1,Standard,64.09,1,16,0
C00547,2023-08,10,Basic,31.29,1,22,0
C00548,2024-03,47,Premium,100.67,2,11,0
C00549,2023-08,33,Standard,62.74,1,17,0
C00550,2023-09,20,Premium,94.91,5,14,0
C00551,2023-12,38,Standard,64.96,5,25,0
C00552,2023-06,3,Premium,100.68,1,23,0
C00553,2023-07,42,Basic,23.17,4,24,0
C00554,2024-01,47,Standard,52.08,1,10,0
C00555,2023-02,39,Premium,99.34,0,18,0
C00556,2023-09,36,Standard,62.3,1,0,1
