campaign_id,date,channel,spend,impressions,clicks,conversions,revenue,roi
CAM0068,2024-03-06,Display,3114.5,176808,8419,131,33039.3,960.8
CAM0069,2024-06-08,Display,5670.25,946097,24161,314,65644.16,1057.7
CAM0070,2024-06-27,Search,3565.36,270556,7656,676,171094.89,4698.8
CAM0071,2024-08-05,Search,4535.13,506331,18921,1278,379616.96,8270.6
CAM0072,2024-07-01,Search,7329.72,1347084,62617,3187,722629.74,9758.9
CAM0073,2024-08-05,Affiliate,3729.35,667888,32132,1599,218964.5,5771.4
CAM0074,2024-02-05,Email,6627.83,703603,33828,1679,180505.24,2623.4
CAM0075,2024-06-11,Affiliate,644.51,78335,3686,193,50618.12,7753.7
CAM0076,2024-10-30,Search,3780.02,592135,29340,1575,150506.79,3881.6
CAM0077,2024-09-22,Email,4599.77,902729,8002,230,64494.26,1302.1
CAM0078,2024-02-27,Display,7436.93,1149848,49227,621,140278.67,1786.2
CAM0079,2024-05-15,Affiliate,6398.76,401778,11350,331,97484.64,1423.5
CAM0080,2024-06-18,Affiliate,6973.23,941212,9399,509,89397.16,1182.0
CAM0081,2024-09-02,Social,2450.95,355957,10749,156,25860.78,955.1
CAM0082,2024-11-18,Display,3389.59,277576,12923,198,26470.98,680.9
CAM0083,2024-01-29,Affiliate,5362.0,933276,15166,564,150977.3,2715.7
CAM0084,2024-03-28,Affiliate,5734.53,359347,12708,762,111657.01,1847.1
CAM0085,2024-06-29,Email,1508.53,278169,8501,346,29745.28,1871.8
CAM0086,2024-07-02,Search,1152.77,127249,3102,232,38291.43,3221.7
CAM0087,2024-11-15,Email,7174.02,546321,20089,820,98988.48,1279.8
CAM0088,2024-04-07,Affiliate,6305.56,1017172,14033,287,43162.97,584.5
CAM0089,2024-07-09,Email,5957.31,603583,14329,1119,224856.88,3674.5
CAM0090,2024-02-01,Affiliate,4236.06,331767,12770,546,46651.6,1001.3
CAM0091,2024-12-12,Search,3820.15,711962,8079,552,74367.48,1846.7
CAM0092,2024-11-30,Display,7215.51,1209531,53989,764,161162.77,2133.6
CAM0093,2024-02-17,Search,4795.32,956564,38187,2393,435058.74,8972.6
CAM0094,2024-08-09,Display,2596.74,501747,9175,143,21544.58,729.7
CAM0095,2024-02-03,Display,6498.28,472281,19653,147,23790.29,266.1
CAM0096,2024-06-01,Search,5351.77,538514,25979,1219,334132.34,6143.4
CAM0097,2024-07-28,Display,4088.91,543105,4111,61,11397.66,178.7
CAM0098,2024-05-23,Display,6979.26,1167500,25811,375,104451.85,1396.6
CAM0099,2024-05-17,Email,4458.75,642769,4915,251,58190.36,1205.1
CAM0100,2024-01-29,Display,3454.82,276446,7205,105,24153.68,599.1
CAM0101,2024-10-03,Affiliate,4963.47,545023,9933,323,66615.82,1242.1
CAM0102,2024-02-20,Email,3542.39,469186,7601,411,39239.5,1007.7
CAM0103,2024-08-09,Social,4726.23,538267,3143,58,13488.18,185.4
CAM0104,2024-06-26,Display,4013.16,767029,35136,264,76555.65,1807.6
CAM0105,2024-11-17,Affiliate,5333.05,518081,22505,928,208035.73,3800.9
CAM0106,2024-10-16,Email,2036.65,398946,12346,376,71055.4,3388.8
CAM0107,2024-01-29,Social,1703.69,296773,14827,444,123211.81,7132.1
CAM0108,2024-01-29,Social,6236.67,620931,13191,386,106542.15,1608.3
CAM0109,2024-01-01,Email,8240.54,1395323,11151,567,102539.65,1144.3
CAM0110,2024-03-13,Email,4879.84,382956,7665,365,79947.2,1538.3
CAM0111,2024-03-23,Search,3710.54,434481,20357,1004,199371.2,5273.1
CAM0112,2024-08-05,Affiliate,4159.02,441329,8201,288,77529.02,1764.1
CAM0113,2024-09-28,Affiliate,1679.62,318004,15100,360,78361.75,4565.4
CAM0114,2024-06-04,Social,2459.38,249360,3228,43,9961.83,305.1
CAM0115,2024-12-03,Display,6274.63,355082,11196,120,30114.51,379.9
CAM0116,2024-04-15,Search,4614.47,893021,40148,2909,634276.48,13645.4
CAM0117,2024-08-25,Email,6645.67,819623,37818,1934,173625.38,2512.6
CAM0118,2024-01-17,Search,8275.44,722172,15143,995,226590.5,2638.1
CAM0119,2024-06-19,Social,5394.57,971033,31542,567,157430.31,2818.3
CAM0120,2024-03-31,Search,1211.55,133773,6293,418,124254.44,10155.8
CAM0121,2024-05-15,Affiliate,6727.77,357254,2509,74,16678.92,147.9
CAM0122,2024-05-09,Email,3978.41,749512,26195,1518,259180.65,6414.7
CAM0123,2024-02-04,Search,4902.03,393160,6546,307,33162.18,576.5
CAM0124,2024-03-31,Display,3084.12,592920,5377,77,14091.02,356.9
CAM0125,2024-05-25,Display,4737.65,678296,14488,166,20420.8,331.0
CAM0126,2024-04-16,Email,2240.57,160869,2423,124,35995.55,1506.5
CAM0127,2024-04-08,Affiliate,7064.95,1200370,40491,1371,355866.24,4937.1
CAM0128,2024-06-20,Affiliate,5818.65,1062786,41681,1390,379393.94,6420.3
CAM0129,2024-01-15,Search,6187.73,813187,33957,2534,671965.06,10759.6
CAM0130,2024-08-18,Email,4231.38,406967,14355,233,30440.87,619.4
CAM0131,2024-10-26,Email,3401.09,321325,5818,288,63683.98,1772.5
CAM0132,2024-04-16,Search,6767.95,619000,11923,634,110457.5,1532.1
CAM0133,2024-10-11,Email,7689.06,550352,23471,1529,179365.96,2232.7
CAM0134,2024-11-05,Affiliate,6396.67,565878,21573,540,140972.87,2103.8
CAM0135,2024-07-23,Search,6422.72,879422,26038,1419,296232.38,4512.3
CAM0136,2024-05-06,Email,3813.52,262243,10706,547,145010.12,3702.5
CAM0137,2024-03-23,Search,5857.12,750981,7383,545,103538.03,1667.7
CAM0138,2024-05-24,Affiliate,6313.88,1221733,57059,2131,416974.94,6504.1
CAM0139,2024-06-09,Email,2102.3,189799,2261,165,36444.74,1633.6
CAM0140,2024-06-19,Email,4218.16,392767,16647,588,117023.06,2674.3
CAM0141,2024-10-05,Search,2570.29,335746,12409,843,216437.35,8320.7
CAM0142,2024-11-18,Display,5071.4,682876,12857,148,35889.55,607.7
CAM0143,2024-07-17,Affiliate,7996.76,410105,13373,608,127447.63,1493.7
CAM0144,2024-03-27,Display,2964.63,588866,9031,175,24245.47,717.8
CAM0145,2024-09-26,Search,1969.49,118824,1762,110,22552.85,1045.1
CAM0146,2024-09-04,Affiliate,3539.56,645435,12409,523,94999.47,2583.9
CAM0147,2024-11-13,Display,6272.27,913992,10338,108,22803.37,263.6
CAM0148,2024-01-17,Social,7100.91,1395094,64925,1513,430178.37,5958.1
CAM0149,2024-11-29,Search,7922.01,1375859,60074,4993,970089.21,12145.5
CAM0150,2024-10-21,Display,4057.5,267876,5594,88,20714.84,410.5
CAM0151,2024-01-30,Social,3709.51,649031,31090,812,70700.17,1805.9
CAM0152,2024-08-28,Email,6052.98,385841,15614,593,84681.32,1299.0
CAM0153,2024-11-14,Search,1011.33,106702,1513,141,39142.3,3770.4
CAM0154,2024-09-19,Email,5837.68,1161322,10375,469,131490.36,2152.4
CAM0155,2024-01-29,Social,5037.47,526591,23728,674,183145.52,3535.7
CAM0156,2024-01-04,Social,9370.55,1129884,31802,889,258241.34,2655.9
CAM0157,2024-01-28,Display,5735.11,573197,22257,289,35340.99,516.2
CAM0158,2024-09-06,Affiliate,5728.06,298812,5601,148,21129.49,268.9
CAM0159,2024-11-09,Email,6170.06,1140022,43262,1181,243139.76,3840.6
CAM0160,2024-12-10,Social,5883.76,823285,37654,711,134366.96,2183.7
CAM0161,2024-08-03,Display,6731.48,1234639,42312,565,134546.5,1898.8
CAM0162,2024-10-14,Affiliate,4298.4,794065,21580,571,106103.75,2368.4
CAM0163,2024-12-04,Email,7952.39,1402368,25521,1118,272173.89,3322.5
CAM0164,2024-08-30,Email,8479.65,1275069,28946,821,65990.01,678.2
CAM0165,2024-07-04,Affiliate,4494.13,320630,4536,55,14526.3,223.2
CAM0166,2024-04-21,Affiliate,6512.49,752108,20021,952,125729.86,1830.6
CAM0167,2024-08-01,Affiliate,3789.8,679228,11571,353,33013.54,771.1
CAM0168,2024-12-16,Social,4223.14,719906,10028,204,22967.48,443.8
CAM0169,2024-10-25,Email,3881.0,430455,16131,961,253531.54,6432.6
CAM0170,2024-10-31,Affiliate,4062.3,254071,9626,157,25967.55,539.2
CAM0171,2024-05-06,Social,4490.28,421608,11288,210,51829.21,1054.3
CAM0172,2024-04-03,Social,2384.39,242813,7622,177,42211.26,1670.3
CAM0173,2024-01-12,Display,1147.9,184457,5482,73,15524.83,1252.5
CAM0174,2024-09-16,Email,4933.89,846780,35363,1322,181361.92,3575.8
CAM0175,2024-03-17,Email,2708.17,293482,7856,198,23395.36,763.9
CAM0176,2024-09-08,Affiliate,6763.4,1050356,36143,1250,371901.48,5398.7
CAM0177,2024-09-15,Email,1642.58,136628,1442,64,17642.96,974.1
CAM0178,2024-12-30,Display,4453.62,579601,3793,64,13052.15,193.1
CAM0179,2024-08-15,Display,4176.1,819546,21714,337,92793.07,2122.0
CAM0180,2024-01-14,Affiliate,4562.45,467328,16733,410,50716.73,1011.6
CAM0181,2024-03-22,Social,5943.09,796187,8192,246,38056.87,540.4
CAM0182,2024-06-18,Display,6813.78,1025152,33987,446,122253.51,1694.2
CAM0183,2024-06-07,Display,6994.57,803537,7398,93,24937.61,256.5
CAM0184,2024-10-08,Display,5163.85,458061,9993,66,13652.28,164.4
CAM0185,2024-05-05,Search,5424.62,834523,31063,2932,352502.0,6398.2
CAM0186,2024-12-19,Affiliate,1727.96,196422,6679,153,30781.23,1681.4
CAM0187,2024-11-30,Social,4345.83,503707,13197,172,30710.88,606.7
CAM0188,2024-06-04,Search,6368.56,1201397,36969,1157,328829.37,5063.3
CAM0189,2024-09-12,Email,6361.19,733690,35083,2054,330968.32,5102.9
CAM0190,2024-09-18,Search,6313.8,736937,28411,1858,532874.42,8339.8
CAM0191,2024-08-07,Search,6068.54,304098,12256,520,103636.66,1607.8
CAM0192,2024-02-05,Social,5519.42,1025626,38422,688,113687.86,1959.8
CAM0193,2024-11-09,Affiliate,6781.54,1143198,15496,714,138360.96,1940.3
CAM0194,2024-11-02,Search,3379.23,242652,6720,482,84591.71,2403.3
CAM0195,2024-05-18,Email,5786.23,462314,6780,261,29653.7,412.5
CAM0196,2024-07-26,Search,5044.91,469680,17775,1332,229369.37,4446.6
CAM0197,2024-08-12,Search,4086.58,615903,18380,877,119450.1,2823.0
CAM0198,2024-03-10,Search,5455.69,931036,15640,1469,143314.54,2526.9
CAM0199,2024-01-22,Affiliate,4694.85,638463,24439,830,191706.38,3983.3
CAM0200,2024-05-23,Search,3414.78,306653,5941,519,90192.3,2541.2
CAM0201,2024-10-27,Display,6750.38,827104,12480,143,25851.23,283.0
CAM0202,2024-03-13,Search,3425.25,528954,11345,561,78656.12,2196.4
CAM0203,2024-07-02,Display,3289.14,218250,3917,40,9035.17,174.7
CAM0204,2024-12-04,Social,3878.46,451175,11549,197,18066.98,365.8
CAM0205,2024-06-20,Display,7230.25,957886,39035,691,117673.48,1527.5
CAM0206,2024-01-30,Search,2821.36,403768,16859,908,225761.45,7901.9
CAM0207,2024-05-27,Search,3104.19,330969,5984,426,35447.21,1041.9
CAM0208,2024-05-18,Display,4320.4,514044,20861,172,48482.48,1022.2
CAM0209,2024-01-26,Affiliate,8305.22,702977,31905,1389,191245.57,2202.7
CAM0210,2024-02-17,Email,3041.11,601091,24148,1577,209716.7,6796.1
CAM0211,2024-06-09,Affiliate,2706.3,187003,3560,160,26910.07,894.3
CAM0212,2024-08-07,Email,9835.68,721796,3781,163,39915.42,305.8
CAM0213,2024-06-22,Display,4423.42,248678,6328,79,22661.74,412.3
CAM0214,2024-04-06,Search,9450.98,566587,7876,738,167289.29,1670.1
CAM0215,2024-06-02,Email,4113.22,676372,23092,1134,167293.63,3967.2
CAM0216,2024-12-22,Social,6845.82,1160381,45128,865,214990.88,3040.5
CAM0217,2024-02-26,Search,2736.81,259488,7509,646,95768.16,3399.3
CAM0218,2024-11-15,Search,6019.52,557016,24637,1754,447585.68,7335.6
CAM0219,2024-07-10,Social,7213.73,924532,9377,135,13680.26,89.6
CAM0220,2024-01-25,Display,4536.58,398889,15430,331,78774.23,1636.4
CAM0221,2024-04-27,Display,6135.3,748775,7160,102,13627.95,122.1
CAM0222,2024-08-29,Email,5211.68,423084,12931,260,76053.46,1359.3
CAM0223,2024-05-30,Social,3364.01,528966,25356,710,111605.89,3217.6
CAM0224,2024-07-28,Social,3916.35,677257,16806,350,104265.54,2562.3
CAM0225,2024-03-06,Affiliate,5582.79,400886,14350,385,108304.02,1840.0
CAM0226,2024-10-06,Display,2435.11,174920,4846,57,7659.9,214.6
CAM0227,2024-07-27,Display,4258.43,294414,13885,178,39072.2,817.5
CAM0228,2024-11-22,Email,2136.38,301698,7271,274,80910.49,3687.3
CAM0229,2024-04-28,Email,6377.86,1258721,20586,1745,370383.86,5707.3
CAM0230,2024-10-02,Social,5238.62,1024921,10542,278,52125.21,895.0
CAM0231,2024-12-30,Affiliate,5975.17,1094840,12042,497,95048.32,1490.7
CAM0232,2024-11-07,Display,6364.06,955583,34719,296,86364.11,1257.1
CAM0233,2024-11-04,Social,4285.67,382469,17028,402,60187.3,1304.4
CAM0234,2024-02-27,Display,3067.25,577980,5266,71,9274.97,202.4
CAM0235,2024-10-02,Social,1167.12,116821,5145,140,40710.16,3388.1
CAM0236,2024-02-06,Social,4699.18,544520,12054,320,45189.11,861.6
CAM0237,2024-03-11,Display,6993.82,1281964,37388,638,144369.26,1964.2
CAM0238,2024-09-21,Search,5537.37,608112,25790,804,158187.32,2756.7
CAM0239,2024-05-15,Display,1477.32,232208,4832,35,4620.91,212.8
CAM0240,2024-12-26,Email,6440.49,729281,16249,422,85403.36,1226.0
CAM0241,2024-08-18,Email,4531.58,453081,5337,209,26166.56,477.4
CAM0242,2024-07-26,Email,5721.72,394521,3093,169,45786.88,700.2
CAM0243,2024-09-18,Display,5189.84,624599,27069,402,102918.68,1883.1
CAM0244,2024-08-21,Search,2798.72,468805,2875,244,55104.42,1868.9
CAM0245,2024-12-14,Email,5262.87,757339,21227,1172,259457.62,4830.0
CAM0246,2024-05-05,Search,3965.62,467035,21055,526,105027.33,2548.4
CAM0247,2024-06-05,Search,6331.22,529436,11688,727,159088.34,2412.8
CAM0248,2024-11-22,Email,7403.67,1138464,12626,640,83213.79,1024.0
CAM0249,2024-07-24,Display,10903.83,1228772,26151,433,111777.52,925.1
CAM0250,2024-07-20,Affiliate,4502.91,237857,11881,236,47352.28,951.6
CAM0251,2024-11-06,Social,3257.19,553107,11880,187,24886.02,664.0
CAM0252,2024-08-28,Email,3957.96,440525,11620,503,92640.71,2240.6
CAM0253,2024-01-31,Search,5635.53,935730,34822,3196,277708.67,4827.8
CAM0254,2024-07-08,Display,3258.4,278044,3349,23,4645.2,42.6
CAM0255,2024-02-01,Display,6661.99,963159,16436,276,34686.81,420.7
CAM0256,2024-04-03,Affiliate,4019.07,801867,6313,314,28424.61,607.2
CAM0257,2024-03-21,Search,6540.53,639586,17486,554,58382.88,792.6
CAM0258,2024-01-02,Search,3726.7,343718,10972,611,158532.09,4154.0
CAM0259,2024-01-18,Social,8977.21,1119240,37330,946,276760.06,2982.9
CAM0260,2024-10-09,Search,3993.2,662069,29584,1520,170184.81,4161.9
CAM0261,2024-08-07,Email,1860.15,166311,4511,267,26278.33,1312.7
CAM0262,2024-04-13,Social,5791.25,1137911,49858,1300,288271.88,4877.7
CAM0263,2024-05-14,Affiliate,2428.85,410827,9346,433,98354.12,3949.4
CAM0264,2024-09-29,Social,4523.85,503836,24191,416,52584.43,1062.4
CAM0265,2024-11-05,Search,6026.2,1045646,30390,1264,101185.99,1579.1
CAM0266,2024-12-16,Search,5358.08,1071478,23516,1406,180948.16,3277.1
CAM0267,2024-07-28,Affiliate,7145.05,923859,13492,649,61850.24,765.6
CAM0268,2024-04-29,Display,5181.73,896039,24083,313,80584.79,1455.2
CAM0269,2024-06-18,Social,6197.21,392055,7046,154,44278.96,614.5
CAM0270,2024-04-17,Affiliate,3364.6,487099,10024,325,44312.11,1217.0
CAM0271,2024-05-29,Email,2558.85,340965,2434,139,18995.76,642.4
CAM0272,2024-02-15,Display,5795.81,836157,6329,66,13427.67,131.7
CAM0273,2024-05-08,Social,3550.28,540060,4952,116,23964.73,575.0
CAM0274,2024-05-06,Email,2174.04,123435,3518,107,11550.7,431.3
CAM0275,2024-11-25,Display,4960.83,523023,6643,138,31549.94,536.0
CAM0276,2024-09-10,Display,5904.79,312640,9965,126,37080.67,528.0
CAM0277,2024-11-02,Search,2658.44,510088,23334,1092,223844.09,8320.1
CAM0278,2024-12-07,Social,7712.62,1467347,25825,489,61845.28,701.9
CAM0279,2024-05-26,Social,5141.31,534026,18475,478,49212.68,857.2
CAM0280,2024-06-13,Affiliate,4159.91,646051,26311,847,97975.69,2255.2
CAM0281,2024-12-05,Affiliate,1550.44,205559,4322,104,24518.93,1481.4
CAM0282,2024-12-17,Display,6173.64,670750,17208,179,18951.36,207.0
CAM0283,2024-06-14,Email,6336.99,1258625,13698,323,52387.89,726.7
CAM0284,2024-06-04,Search,6622.65,381684,9620,617,135394.08,1944.4
CAM0285,2024-01-27,Affiliate,2058.67,278728,7080,360,105791.95,5038.8
CAM0286,2024-05-22,Affiliate,2186.68,391643,15144,761,115517.15,5182.8
CAM0287,2024-10-06,Display,4935.37,265444,1497,13,1070.42,-78.3
CAM0288,2024-06-02,Affiliate,8696.81,1394940,15557,663,92632.33,965.1
CAM0289,2024-06-04,Social,7429.47,478245,7120,176,40984.89,451.7
CAM0290,2024-11-18,Affiliate,4567.11,521425,15230,427,106811.28,2238.7
CAM0291,2024-07-11,Display,4637.6,425060,20920,263,41863.15,802.7
CAM0292,2024-10-18,Email,6633.23,392879,4860,192,47731.76,619.6
CAM0293,2024-04-17,Display,6027.09,1046915,24387,440,39027.96,547.5
CAM0294,2024-12-05,Social,5316.42,357984,13684,124,28787.8,441.5
CAM0295,2024-05-23,Search,5097.01,683002,22360,1412,210995.74,4039.6
CAM0296,2024-12-08,Affiliate,4747.31,577891,14017,277,48718.48,926.2
CAM0297,2024-05-22,Email,5552.94,686935,29654,1121,193297.71,3381.0
CAM0298,2024-12-30,Email,4788.94,272246,4593,265,43571.44,809.8
CAM0299,2024-12-22,Social,3376.95,417481,18276,389,49217.98,1357.5
CAM0300,2024-03-11,Search,4595.48,705414,31502,1945,369679.17,7944.4
CAM0301,2024-02-23,Display,4112.52,770049,26940,285,54769.88,1231.8
CAM0302,2024-03-05,Affiliate,8350.12,710432,31430,1042,284630.0,3308.7
CAM0303,2024-10-18,Display,5541.44,513503,10973,135,21530.97,288.5
CAM0304,2024-12-05,Affiliate,5145.7,733242,29635,1288,363261.21,6959.5
CAM0305,2024-02-25,Social,3734.08,670858,12347,385,31029.58,731.0
CAM0306,2024-03-16,Social,3159.89,534844,14424,301,24706.63,681.9
CAM0307,2024-03-10,Search,2626.88,358516,1985,163,45996.64,1651.0
CAM0308,2024-10-10,Affiliate,3157.64,500845,6935,323,86361.31,2635.0
CAM0309,2024-09-03,Email,5529.8,1031773,12034,570,91450.9,1553.8
CAM0310,2024-07-20,Display,7232.48,837910,31539,309,52407.28,624.6
CAM0311,2024-09-24,Email,7933.99,889802,25625,1020,270273.45,3306.5
CAM0312,2024-06-27,Social,5863.42,1058105,44427,920,237433.52,3949.4
CAM0313,2024-02-22,Display,6234.48,598261,20628,173,15564.24,149.6
CAM0314,2024-04-16,Display,5214.23,615716,4535,54,8631.48,65.5
CAM0315,2024-08-27,Email,5872.13,981966,39849,2011,461387.44,7757.2
CAM0316,2024-06-13,Search,3278.86,598960,12774,1155,277386.83,8359.9
CAM0317,2024-09-02,Affiliate,4884.92,582952,23966,1110,152511.23,3022.1
CAM0318,2024-01-26,Affiliate,2478.24,370750,4393,146,35724.3,1341.5
CAM0319,2024-10-01,Social,7157.22,1188218,21355,700,156704.02,2089.5
CAM0320,2024-12-11,Social,5848.66,339098,9117,195,58482.43,899.9
CAM0321,2024-08-03,Search,2875.48,439333,6273,505,133359.7,4537.8
CAM0322,2024-01-25,Social,5613.05,578172,26612,172,40494.51,621.4
CAM0323,2024-02-08,Affiliate,1534.42,256695,8972,376,42283.21,2655.6
CAM0324,2024-01-07,Display,3335.62,623891,22961,189,29460.37,783.2
CAM0325,2024-10-25,Social,4791.9,814334,8152,197,37810.01,689.0
CAM0326,2024-08-17,Social,7860.87,506712,11567,192,49106.96,524.7
CAM0327,2024-06-12,Affiliate,5871.62,871076,38652,1016,291636.97,4866.9
CAM0328,2024-02-27,Email,4009.69,201707,7869,374,70611.31,1661.0
CAM0329,2024-04-21,Display,4704.7,500103,5340,37,10313.77,119.2
CAM0330,2024-11-06,Affiliate,6026.91,952481,20891,970,232323.92,3754.8
CAM0331,2024-08-09,Affiliate,9718.56,549089,24060,975,213802.72,2099.9
CAM0332,2024-03-11,Affiliate,5347.47,673774,22772,944,283033.52,5192.8
CAM0333,2024-02-14,Email,2271.67,430403,13579,373,78179.44,3341.5
CAM0334,2024-07-16,Social,4834.78,523183,15874,108,23300.38,381.9
CAM0335,2024-07-14,Social,2738.56,507510,6555,122,36497.74,1232.7
CAM0336,2024-04-27,Search,7017.62,1265923,46973,3290,334023.54,4659.8
CAM0337,2024-04-04,Search,1964.15,122918,5420,348,75831.19,3760.8
CAM0338,2024-02-16,Affiliate,6166.88,1094672,26431,1219,279503.29,4432.3
CAM0339,2024-09-12,Affiliate,7091.02,411893,6238,322,26252.25,270.2
CAM0340,2024-05-10,Display,6139.81,1102803,33518,460,53058.72,764.2
CAM0341,2024-01-23,Social,5465.11,685948,12139,334,71568.35,1209.6
CAM0342,2024-10-12,Search,3424.31,257544,11510,702,134335.88,3823.0
CAM0343,2024-05-01,Email,3601.24,348988,7995,406,73738.36,1947.6
CAM0344,2024-04-23,Display,4482.31,238704,4351,68,10795.0,140.8
CAM0345,2024-10-17,Search,5104.47,733184,15347,1315,282226.82,5429.0
CAM0346,2024-03-13,Social,777.64,125911,5940,102,30373.22,3805.8
CAM0347,2024-01-22,Affiliate,6876.34,1212811,13178,503,88007.48,1179.9
CAM0348,2024-02-17,Search,7111.75,619749,20126,1406,280157.37,3839.4
CAM0349,2024-09-28,Social,3132.29,460266,21938,742,106215.83,3291.0
CAM0350,2024-06-10,Search,3673.1,552030,18965,956,236877.53,6349.0
CAM0351,2024-06-29,Social,6639.38,728894,20241,323,86539.85,1203.4
CAM0352,2024-11-21,Display,2413.58,155422,6034,55,15503.06,542.3
